timestamp,event,details
2025-11-23 10:53:48,BOT_FINISH,Code: 1
2025-11-23 10:54:49,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
2025-11-23 10:54:51,BOT_FINISH,Code: 1
2025-11-23 10:55:52,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
2025-11-23 10:55:54,BOT_FINISH,Code: 1
2025-11-23 10:56:55,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
2025-11-23 10:56:58,BOT_FINISH,Code: 1
2025-11-23 10:57:59,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
2025-11-23 10:58:01,BOT_FINISH,Code: 1
2025-11-23 10:59:02,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
2025-11-23 10:59:05,BOT_FINISH,Code: 1
2025-11-23 11:00:06,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
2025-11-23 11:00:08,BOT_FINISH,Code: 1
2025-11-23 11:01:09,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
2025-11-23 11:01:11,BOT_FINISH,Code: 1
2025-11-23 11:02:13,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
2025-11-23 11:02:15,BOT_FINISH,Code: 1
2025-11-23 11:03:16,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 0.4%)"
2025-11-23 11:03:18,BOT_FINISH,Code: 1
2025-11-23 11:03:33,SCHEDULER_STOPPED,User interrupted
2025-11-23 11:08:12,SCHEDULER_STARTUP,"{""ADVANCE_MINUTES"": 20, ""MIN_API_INTERVAL"": 2.0, ""POST_RUN_SLEEP"": 900.0, ""BOOKMAKERS_STR"": ""bet365,betway,bodog,coolbet,888sport,unibet,pinnacle,betonlineag,bovada,sportsbet"", ""SPORT_WHITELIST"": [""icehockey_nhl"", ""americanfootball_nfl"", ""americanfootball_ncaaf"", ""basketball_nba"", ""basketball_ncaab""], ""DEMO_PHASE"": true, ""ADAPTIVE_SCHEDULING"": true, ""BASE_RUN_INTERVAL"": 120, ""PEAK_HOURS"": ""17-23"", ""QUOTA_THRESHOLDS"": ""Warning: 70%, Critical: 90%"", ""SLEEP_MODE"": true, ""SLEEP_HOURS"": ""0-8""}"
2025-11-23 11:13:04,NO_NEXT_EVENT,Sleeping 12 min
2025-11-23 11:29:53,RUN_NOW,Event at 2025-11-23 18:30:00+00:00
2025-11-23 11:29:54,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 1.0%)"
2025-11-23 11:29:55,BOT_FINISH,Code: 1
2025-11-23 11:30:57,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 1.0%)"
2025-11-23 11:30:58,BOT_FINISH,Code: 1
2025-11-23 11:31:59,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 1.0%)"
2025-11-23 11:32:01,BOT_FINISH,Code: 1
2025-11-23 11:33:02,BOT_START,"Key: ...d8ae8, Reason: Normal operation (quota: 1.0%)"
2025-11-23 11:33:03,BOT_FINISH,Code: 1
2025-11-23 11:33:25,SCHEDULER_STOPPED,User interrupted
2025-11-23 11:33:44,SCHEDULER_STARTUP,"{""ADVANCE_MINUTES"": 20, ""MIN_API_INTERVAL"": 2.0, ""POST_RUN_SLEEP"": 900.0, ""BOOKMAKERS_STR"": ""bet365,betway,bodog,coolbet,888sport,unibet,pinnacle,betonlineag,bovada,sportsbet"", ""SPORT_WHITELIST"": [""americanfootball_ncaaf"", ""americanfootball_nfl"", ""basketball_ncaab"", ""basketball_nba"", ""icehockey_nhl""], ""DEMO_PHASE"": true, ""ADAPTIVE_SCHEDULING"": true, ""BASE_RUN_INTERVAL"": 120, ""PEAK_HOURS"": ""17-23"", ""QUOTA_THRESHOLDS"": ""Warning: 70%, Critical: 90%"", ""SLEEP_MODE"": true, ""SLEEP_HOURS"": ""0-8""}"
2025-11-23 11:33:46,NO_NEXT_EVENT,Sleeping 12 min
2025-11-23 11:50:36,RUN_NOW,Event at 2025-11-23 19:00:00+00:00
2025-11-23 11:50:37,BOT_START,"Key: ...cfc6f, Reason: Normal operation (quota: 1.3%)"
2025-11-23 11:57:05,BOT_FINISH,Code: 1
2025-11-23 11:58:06,BOT_START,"Key: ...cfc6f, Reason: Normal operation (quota: 1.3%)"
2025-11-23 12:04:28,BOT_FINISH,Code: 1
2025-11-23 12:05:29,BOT_START,"Key: ...cfc6f, Reason: Normal operation (quota: 1.3%)"
2025-11-23 12:11:53,BOT_FINISH,Code: 1
2025-11-23 12:12:55,BOT_START,"Key: ...cfc6f, Reason: Normal operation (quota: 1.3%)"
2025-11-23 12:47:51,SCHEDULER_STARTUP,"{""ADVANCE_MINUTES"": 20, ""MIN_API_INTERVAL"": 2.0, ""POST_RUN_SLEEP"": 900.0, ""BOOKMAKERS_STR"": ""bet365,betway,bodog,coolbet,888sport,unibet,pinnacle,betonlineag,bovada,sportsbet"", ""SPORT_WHITELIST"": [""basketball_nba"", ""basketball_ncaab"", ""americanfootball_ncaaf"", ""americanfootball_nfl"", ""icehockey_nhl""], ""DEMO_PHASE"": true, ""ADAPTIVE_SCHEDULING"": true, ""BASE_RUN_INTERVAL"": 120, ""PEAK_HOURS"": ""17-23"", ""QUOTA_THRESHOLDS"": ""Warning: 70%, Critical: 90%"", ""SLEEP_MODE"": true, ""SLEEP_HOURS"": ""0-8""}"
2025-11-23 12:52:42,RUN_NOW,Event at 2025-11-23 20:00:00+00:00
2025-11-23 12:52:44,BOT_START,"Key: ...41f9a, Reason: Normal operation (quota: 1.9%)"
2025-11-23 13:02:45,SLEEP_AFTER_RUN,Sleeping 900.0s
2025-11-23 13:09:36,SCHEDULER_STOPPED,User interrupted
2025-11-23 13:09:41,SCHEDULER_STARTUP,"{""ADVANCE_MINUTES"": 20, ""MIN_API_INTERVAL"": 2.0, ""POST_RUN_SLEEP"": 900.0, ""BOOKMAKERS_STR"": ""bet365,betway,bodog,coolbet,888sport,unibet,pinnacle,betonlineag,bovada,sportsbet"", ""SPORT_WHITELIST"": [""basketball_nba"", ""americanfootball_nfl"", ""americanfootball_ncaaf"", ""basketball_ncaab"", ""icehockey_nhl""], ""DEMO_PHASE"": true, ""ADAPTIVE_SCHEDULING"": true, ""BASE_RUN_INTERVAL"": 120, ""PEAK_HOURS"": ""17-23"", ""QUOTA_THRESHOLDS"": ""Warning: 70%, Critical: 90%"", ""SLEEP_MODE"": true, ""SLEEP_HOURS"": ""0-8""}"
2025-11-23 13:14:32,RUN_NOW,Event at 2025-11-23 20:30:00+00:00
2025-11-23 13:14:33,BOT_START,"Key: ...cfc6f, Reason: Normal operation (quota: 2.3%)"
2025-11-23 13:14:41,BOT_FINISH,Code: 1
2025-11-23 13:15:43,BOT_START,"Key: ...cfc6f, Reason: Normal operation (quota: 2.3%)"
2025-11-23 13:15:50,BOT_FINISH,Code: 1
2025-11-23 13:15:57,SCHEDULER_STOPPED,User interrupted
2025-11-23 13:31:12,SCHEDULER_STARTUP,"{""ADVANCE_MINUTES"": 20, ""MIN_API_INTERVAL"": 2.0, ""POST_RUN_SLEEP"": 900.0, ""BOOKMAKERS_STR"": ""bet365,betway,bodog,coolbet,888sport,unibet,pinnacle,betonlineag,bovada,sportsbet"", ""SPORT_WHITELIST"": [""americanfootball_nfl"", ""basketball_ncaab"", ""basketball_nba"", ""americanfootball_ncaaf"", ""icehockey_nhl""], ""DEMO_PHASE"": true, ""ADAPTIVE_SCHEDULING"": true, ""BASE_RUN_INTERVAL"": 120, ""PEAK_HOURS"": ""17-23"", ""QUOTA_THRESHOLDS"": ""Warning: 70%, Critical: 90%"", ""SLEEP_MODE"": true, ""SLEEP_HOURS"": ""0-8""}"
2025-11-23 13:31:47,SCHEDULER_STOPPED,User interrupted
