game_id,home_team,away_team,market,outcomes,bookmakers,percent_profit,commence_time,sport
e32e0030899c06fdf2c74745ca27d85a,Arizona Cardinals,Jacksonville Jaguars,h2h,h2h,"{'Arizona Cardinals': 3.19, 'Jacksonville Jaguars': 1.8}","{'Arizona Cardinals': 'coolbet', 'Jacksonville Jaguars': 'unibet'}",13.1,2025-11-23T21:05:54Z,Unknown
e32e0030899c06fdf2c74745ca27d85a,Arizona Cardinals,Jacksonville Jaguars,spreads,spreads,"{'Arizona Cardinals': 1.95, 'Jacksonville Jaguars': 2.2}","{'Arizona Cardinals': 'unibet', 'Jacksonville Jaguars': 'coolbet'}",3.26,2025-11-23T21:05:54Z,Unknown
8c2d6a56aa63f42227f18a18fc3d2146,New Orleans Saints,Atlanta Falcons,h2h,h2h,"{'Atlanta Falcons': 1.52, 'New Orleans Saints': 3.19}","{'Atlanta Falcons': 'pinnacle', 'New Orleans Saints': 'coolbet'}",2.86,2025-11-23T21:26:24Z,Unknown
4553ba763cb3cfcfc33fd62672a2057f,Dallas Cowboys,Philadelphia Eagles,h2h,h2h,"{'Dallas Cowboys': 12.5, 'Philadelphia Eagles': 1.11}","{'Dallas Cowboys': 'unibet', 'Philadelphia Eagles': 'pinnacle'}",1.91,2025-11-23T21:26:24Z,Unknown
4553ba763cb3cfcfc33fd62672a2057f,Dallas Cowboys,Philadelphia Eagles,totals,totals,"{'Over': 1.96, 'Under': 2.13}","{'Over': 'coolbet', 'Under': 'pinnacle'}",2.03,2025-11-23T21:26:24Z,Unknown
9e7119f5a24471c39145663b84f100b2,Los Angeles Rams,Tampa Bay Buccaneers,spreads,spreads,"{'Los Angeles Rams': 2.04, 'Tampa Bay Buccaneers': 2.02}","{'Los Angeles Rams': 'pinnacle', 'Tampa Bay Buccaneers': 'sportsbet'}",1.48,2025-11-24T01:20:00Z,Unknown
38be9cf3227ca4d2ff10639d21d2db4a,Cleveland Cavaliers,Los Angeles Clippers,h2h,h2h,"{'Cleveland Cavaliers': 1.63, 'Los Angeles Clippers': 4.55}","{'Cleveland Cavaliers': 'pinnacle', 'Los Angeles Clippers': 'coolbet'}",16.67,2025-11-23T23:11:00Z,Unknown
9aeb9f37ee8398f05aeb7a3719b520b1,New York Islanders,Seattle Kraken,spreads,spreads,"{'New York Islanders': 4.15, 'Seattle Kraken': 1.42}","{'New York Islanders': 'bovada', 'Seattle Kraken': 'coolbet'}",5.48,2025-11-23T22:08:46Z,Unknown
9aeb9f37ee8398f05aeb7a3719b520b1,New York Islanders,Seattle Kraken,totals,totals,"{'Over': 2.08, 'Under': 2.05}","{'Over': 'unibet', 'Under': 'bovada'}",3.14,2025-11-23T22:08:46Z,Unknown
0a1dbaca1301e9f16498c5508151c951,San Jose Sharks,Boston Bruins,totals,totals,"{'Over': 1.98, 'Under': 2.1}","{'Over': 'unibet', 'Under': 'sportsbet'}",1.88,2025-11-24T01:10:00Z,Unknown
